TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME,HEADING
1066.681,000-0000-0000,AV,329149.6537142121,4152259.8629859197,HMC,294.67999267578125
1066.681,000-0000-0097,OTHERS,-0.12349343299865723,7.540387153625488,HMC,-12.169861793518066
1066.681,000-0000-0038,OTHERS,-3.613400459289551,11.096834182739258,HMC,2.145477294921875
1066.681,000-0000-0127,OTHERS,-0.07391215860843658,-13.421037673950195,HMC,-0.0
1066.681,000-0000-0056,OTHERS,-3.9291510581970215,23.73719024658203,HMC,2.0626182556152344
1066.681,000-0000-0045,OTHERS,3.1409900188446045,-1.0244386196136475,HMC,-3.089017629623413
1066.681,000-0000-0141,OTHERS,3.7968523502349854,-8.197332382202148,HMC,-0.0
1066.681,000-0000-0105,OTHERS,-33.69220733642578,-22.998701095581055,HMC,-0.0
1066.681,000-0000-0042,OTHERS,-7.350980281829834,34.79345703125,HMC,-5.314531326293945
1066.681,000-0000-0058,OTHERS,-28.0540771484375,-22.725004196166992,HMC,-0.0
1066.681,000-0000-0054,OTHERS,-3.138075590133667,-5.555665969848633,HMC,-3.358103036880493
1066.681,000-0000-0132,OTHERS,3.299999952316284,-37.900001525878906,HMC,4.989999771118164
1066.681,000-0000-0053,OTHERS,3.663794755935669,-14.663354873657227,HMC,-0.8049777746200562
1066.681,000-0000-0126,OTHERS,3.4632482528686523,-22.85846519470215,HMC,-0.0
1066.681,000-0000-0138,OTHERS,-3.4347004890441895,-31.943735122680664,HMC,-3.966238260269165
1066.681,000-0000-0158,OTHERS,-7.156648635864258,-5.341472625732422,HMC,5.925605297088623
1066.681,000-0000-0144,OTHERS,3.309724807739258,-30.685937881469727,HMC,2.6891608238220215
1066.681,000-0000-0030,OTHERS,32.65949630737305,-24.845346450805664,HMC,30.980499267578125
1066.681,000-0000-0157,OTHERS,32.78229522705078,3.394465208053589,HMC,-0.0
1066.681,000-0000-0106,OTHERS,13.560495376586914,-20.248075485229492,HMC,2.509232759475708
1066.681,000-0000-0114,OTHERS,25.901086807250977,13.986401557922363,HMC,-28.615638732910156
1066.681,000-0000-0035,OTHERS,-3.402048110961914,-15.718043327331543,HMC,3.372774600982666
1066.681,000-0000-0055,OTHERS,33.3572998046875,8.667564392089844,HMC,-40.01723861694336
1066.681,000-0000-0029,OTHERS,-21.491796493530273,-16.97846794128418,HMC,32.55122756958008
1066.681,000-0000-0043,OTHERS,-5.870628356933594,-35.364261627197266,HMC,-0.0
1066.681,000-0000-0052,OTHERS,-20.38872528076172,-9.075813293457031,HMC,-0.0
1066.681,000-0000-0086,OTHERS,-15.533777236938477,17.10678482055664,HMC,-5.973609924316406
1066.681,000-0000-0108,OTHERS,-7.008459568023682,8.897804260253906,HMC,3.018094778060913
1066.681,000-0000-0110,OTHERS,-9.732133865356445,-1.5135245323181152,HMC,-0.829322099685669
1066.681,000-0000-0134,OTHERS,3.255546808242798,6.196765899658203,HMC,-3.072857618331909
1066.681,000-0000-0006,OTHERS,-6.7336106300354,-16.69140625,HMC,-2.7945117950439453
1066.681,000-0000-0014,OTHERS,33.46605682373047,16.003028869628906,HMC,13.237016677856445
1066.681,000-0000-0098,OTHERS,-7.599190711975098,23.777366638183594,HMC,-0.0
1066.681,000-0000-0024,OTHERS,-35.368412017822266,-9.294527053833008,HMC,24.15412712097168
1066.681,000-0000-0022,OTHERS,26.01331329345703,-2.1664319038391113,HMC,-0.0
1066.681,000-0000-0016,OTHERS,29.844066619873047,-1.7146291732788086,HMC,-0.5880887508392334
1066.681,000-0000-0008,OTHERS,11.404324531555176,-28.611948013305664,HMC,2.678161382675171
1066.681,000-0000-0034,OTHERS,-17.958702087402344,2.875711441040039,HMC,-0.0
1066.681,000-0000-0142,OTHERS,15.472445487976074,-28.653987884521484,HMC,17.41631317138672
1066.681,000-0000-0021,OTHERS,-30.860424041748047,-17.441852569580078,HMC,-0.0
1066.681,000-0000-0009,OTHERS,-3.549999952316284,-40.650001525878906,HMC,-0.9800000190734863
1066.681,000-0000-0012,OTHERS,-34.00336456298828,-11.544758796691895,HMC,-0.0
1066.681,000-0000-0103,OTHERS,34.49946594238281,14.487850189208984,HMC,-0.0
1066.681,000-0000-0109,OTHERS,27.48432159423828,-41.19525909423828,HMC,-0.0
1066.681,000-0000-0081,OTHERS,-10.695304870605469,11.383230209350586,HMC,-5.873795986175537
1066.681,000-0000-0063,OTHERS,33.01019287109375,14.379684448242188,HMC,-12.179343223571777
1066.681,000-0000-0067,OTHERS,30.945531845092773,-21.61373519897461,HMC,32.95655059814453
1066.681,000-0000-0074,OTHERS,-11.065896987915039,-21.18468475341797,HMC,1.2470448017120361
1066.681,000-0000-0131,OTHERS,37.78926086425781,-1.579150676727295,HMC,-3.62559175491333
1066.681,000-0000-0291,OTHERS,26.172679901123047,-27.804325103759766,HMC,3.2601687908172607
1066.681,000-0000-0395,OTHERS,26.70639991760254,-81.08206939697266,HMC,-1.2570512294769287
1066.771,000-0000-0000,AV,329149.8505503872,4152259.3995621223,HMC,294.3599853515625
1066.771,000-0000-0097,OTHERS,-0.16053667664527893,7.852660179138184,HMC,-6.920187950134277
1066.771,000-0000-0038,OTHERS,-3.6192679405212402,11.365630149841309,HMC,3.2472684383392334
1066.771,000-0000-0127,OTHERS,-0.12076306343078613,-13.332327842712402,HMC,1.2637149095535278
1066.771,000-0000-0056,OTHERS,-3.994927406311035,23.98332977294922,HMC,4.799211025238037
1066.771,000-0000-0045,OTHERS,3.147350788116455,-1.474358320236206,HMC,-4.591014862060547
